model_name,split,error_type,group_column,group_value,count
heuristic_position,test,false_positive,circuit_short_name,Las Vegas,5
heuristic_position,test,false_positive,circuit_short_name,Lusail,4
heuristic_position,test,false_positive,circuit_short_name,Melbourne,3
heuristic_position,test,false_positive,circuit_short_name,Mexico City,2
heuristic_position,test,false_positive,circuit_short_name,Miami,6
heuristic_position,test,false_positive,circuit_short_name,Monte Carlo,1
heuristic_position,test,false_positive,circuit_short_name,Montreal,3
heuristic_position,test,false_positive,circuit_short_name,Monza,2
heuristic_position,test,false_positive,circuit_short_name,Sakhir,2
heuristic_position,test,false_positive,circuit_short_name,Shanghai,6
heuristic_position,test,false_positive,circuit_short_name,Silverstone,3
heuristic_position,test,false_positive,circuit_short_name,Singapore,1
heuristic_position,test,false_positive,circuit_short_name,Spa-Francorchamps,4
heuristic_position,test,false_positive,circuit_short_name,Spielberg,3
heuristic_position,test,false_positive,circuit_short_name,Yas Marina Circuit,3
heuristic_position,test,false_positive,circuit_short_name,Zandvoort,5
heuristic_position,test,false_positive,session_year,2025,72
heuristic_position,test,false_positive,_position_bin,1-5,13
heuristic_position,test,false_positive,_position_bin,6-10,59
heuristic_position,test,false_positive,_position_bin,11-15,0
heuristic_position,test,false_positive,_position_bin,16-20,0
heuristic_position,test,false_positive,_position_bin,21+,0
heuristic_position,test,false_negative,team_name,Alpine,3
heuristic_position,test,false_negative,team_name,Aston Martin,7
heuristic_position,test,false_negative,team_name,Ferrari,8
heuristic_position,test,false_negative,team_name,Haas F1 Team,11
heuristic_position,test,false_negative,team_name,Kick Sauber,9
heuristic_position,test,false_negative,team_name,Mercedes,4
heuristic_position,test,false_negative,team_name,Racing Bulls,3
heuristic_position,test,false_negative,team_name,Red Bull Racing,7
heuristic_position,test,false_negative,team_name,Williams,8
heuristic_position,test,false_negative,circuit_short_name,Austin,4
heuristic_position,test,false_negative,circuit_short_name,Baku,1
heuristic_position,test,false_negative,circuit_short_name,Catalunya,1
heuristic_position,test,false_negative,circuit_short_name,Hungaroring,1
heuristic_position,test,false_negative,circuit_short_name,Imola,3
heuristic_position,test,false_negative,circuit_short_name,Interlagos,3
heuristic_position,test,false_negative,circuit_short_name,Jeddah,2
heuristic_position,test,false_negative,circuit_short_name,Las Vegas,5
heuristic_position,test,false_negative,circuit_short_name,Lusail,2
heuristic_position,test,false_negative,circuit_short_name,Melbourne,3
heuristic_position,test,false_negative,circuit_short_name,Mexico City,2
heuristic_position,test,false_negative,circuit_short_name,Miami,4
heuristic_position,test,false_negative,circuit_short_name,Monte Carlo,1
heuristic_position,test,false_negative,circuit_short_name,Montreal,3
heuristic_position,test,false_negative,circuit_short_name,Monza,2
heuristic_position,test,false_negative,circuit_short_name,Sakhir,2
heuristic_position,test,false_negative,circuit_short_name,Shanghai,4
heuristic_position,test,false_negative,circuit_short_name,Silverstone,3
heuristic_position,test,false_negative,circuit_short_name,Singapore,1
heuristic_position,test,false_negative,circuit_short_name,Spa-Francorchamps,2
heuristic_position,test,false_negative,circuit_short_name,Spielberg,3
heuristic_position,test,false_negative,circuit_short_name,Yas Marina Circuit,3
heuristic_position,test,false_negative,circuit_short_name,Zandvoort,5
heuristic_position,test,false_negative,session_year,2025,60
heuristic_position,test,false_negative,_position_bin,1-5,0
heuristic_position,test,false_negative,_position_bin,6-10,0
heuristic_position,test,false_negative,_position_bin,11-15,35
heuristic_position,test,false_negative,_position_bin,16-20,25
heuristic_position,test,false_negative,_position_bin,21+,0
logistic_regression,validation,false_positive,team_name,Alpine,7
logistic_regression,validation,false_positive,team_name,Aston Martin,4
logistic_regression,validation,false_positive,team_name,Ferrari,2
logistic_regression,validation,false_positive,team_name,Haas F1 Team,5
logistic_regression,validation,false_positive,team_name,Kick Sauber,6
logistic_regression,validation,false_positive,team_name,McLaren,2
logistic_regression,validation,false_positive,team_name,Mercedes,2
logistic_regression,validation,false_positive,team_name,RB,9
logistic_regression,validation,false_positive,team_name,Red Bull Racing,4
logistic_regression,validation,false_positive,team_name,Williams,5
logistic_regression,validation,false_positive,circuit_short_name,Austin,2
logistic_regression,validation,false_positive,circuit_short_name,Baku,6
logistic_regression,validation,false_positive,circuit_short_name,Hungaroring,2
logistic_regression,validation,false_positive,circuit_short_name,Interlagos,11
logistic_regression,validation,false_positive,circuit_short_name,Jeddah,1
logistic_regression,validation,false_positive,circuit_short_name,Lusail,6
logistic_regression,validation,false_positive,circuit_short_name,Mexico City,7
logistic_regression,validation,false_positive,circuit_short_name,Miami,2
logistic_regression,validation,false_positive,circuit_short_name,Montreal,2
logistic_regression,validation,false_positive,circuit_short_name,Singapore,3
logistic_regression,validation,false_positive,circuit_short_name,Spielberg,4
logistic_regression,validation,false_positive,session_year,2024,46
logistic_regression,validation,false_positive,_position_bin,1-5,3
logistic_regression,validation,false_positive,_position_bin,6-10,18
logistic_regression,validation,false_positive,_position_bin,11-15,15
logistic_regression,validation,false_positive,_position_bin,16-20,10
logistic_regression,validation,false_positive,_position_bin,21+,0
logistic_regression,validation,false_negative,team_name,Alpine,4
logistic_regression,validation,false_negative,team_name,Aston Martin,9
logistic_regression,validation,false_negative,team_name,Ferrari,14
logistic_regression,validation,false_negative,team_name,Haas F1 Team,10
logistic_regression,validation,false_negative,team_name,McLaren,12
logistic_regression,validation,false_negative,team_name,Mercedes,13
logistic_regression,validation,false_negative,team_name,RB,9
logistic_regression,validation,false_negative,team_name,Red Bull Racing,14
logistic_regression,validation,false_negative,team_name,Williams,3
logistic_regression,validation,false_negative,circuit_short_name,Austin,9
logistic_regression,validation,false_negative,circuit_short_name,Baku,1
logistic_regression,validation,false_negative,circuit_short_name,Catalunya,3
logistic_regression,validation,false_negative,circuit_short_name,Hungaroring,2
logistic_regression,validation,false_negative,circuit_short_name,Imola,4
logistic_regression,validation,false_negative,circuit_short_name,Jeddah,1
logistic_regression,validation,false_negative,circuit_short_name,Las Vegas,6
logistic_regression,validation,false_negative,circuit_short_name,Lusail,6
logistic_regression,validation,false_negative,circuit_short_name,Melbourne,9
logistic_regression,validation,false_negative,circuit_short_name,Miami,6
logistic_regression,validation,false_negative,circuit_short_name,Monte Carlo,5
logistic_regression,validation,false_negative,circuit_short_name,Monza,1
logistic_regression,validation,false_negative,circuit_short_name,Sakhir,1
logistic_regression,validation,false_negative,circuit_short_name,Shanghai,8
logistic_regression,validation,false_negative,circuit_short_name,Silverstone,6
logistic_regression,validation,false_negative,circuit_short_name,Spa-Francorchamps,8
logistic_regression,validation,false_negative,circuit_short_name,Suzuka,10
logistic_regression,validation,false_negative,circuit_short_name,Yas Marina Circuit,1
logistic_regression,validation,false_negative,circuit_short_name,Zandvoort,1
logistic_regression,validation,false_negative,session_year,2024,88
logistic_regression,validation,false_negative,_position_bin,1-5,25
logistic_regression,validation,false_negative,_position_bin,6-10,39
logistic_regression,validation,false_negative,_position_bin,11-15,16
logistic_regression,validation,false_negative,_position_bin,16-20,8
logistic_regression,validation,false_negative,_position_bin,21+,0
logistic_regression,test,false_positive,team_name,Alpine,16
logistic_regression,test,false_positive,team_name,Aston Martin,15
logistic_regression,test,false_positive,team_name,Ferrari,6
logistic_regression,test,false_positive,team_name,Haas F1 Team,10
logistic_regression,test,false_positive,team_name,Kick Sauber,9
logistic_regression,test,false_positive,team_name,McLaren,4
logistic_regression,test,false_positive,team_name,Mercedes,6
logistic_regression,test,false_positive,team_name,Racing Bulls,16
logistic_regression,test,false_positive,team_name,Red Bull Racing,9
logistic_regression,test,false_positive,team_name,Williams,9
logistic_regression,test,false_positive,circuit_short_name,Austin,1
logistic_regression,test,false_positive,circuit_short_name,Baku,7
logistic_regression,test,false_positive,circuit_short_name,Catalunya,1
logistic_regression,test,false_positive,circuit_short_name,Hungaroring,2
logistic_regression,test,false_positive,circuit_short_name,Imola,3
logistic_regression,test,false_positive,circuit_short_name,Interlagos,16
logistic_regression,test,false_positive,circuit_short_name,Las Vegas,4
logistic_regression,test,false_positive,circuit_short_name,Lusail,2
