endpoint,year,session_key,output_path,record_count,status,error_message,ingestion_timestamp_utc,manifest_source
laps,2025,9934.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9934.jsonl,298,success,,2026-05-19T17:45:13+00:00,original
laps,2025,9939.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9939.jsonl,879,success,,2026-05-19T17:45:13+00:00,original
laps,2025,9947.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9947.jsonl,827,success,,2026-05-19T17:45:14+00:00,original
laps,2025,9955.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9955.jsonl,1128,success,,2026-05-19T17:45:15+00:00,original
laps,2025,9963.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9963.jsonl,1349,success,,2026-05-19T17:45:15+00:00,original
laps,2025,9971.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9971.jsonl,1204,success,,2026-05-19T17:45:16+00:00,original
laps,2025,9979.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9979.jsonl,1425,success,,2026-05-19T17:45:17+00:00,original
pit,2023,9102.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9102.jsonl,43,success,,2026-05-19T17:46:03+00:00,original
pit,2023,9110.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9110.jsonl,33,success,,2026-05-19T17:46:03+00:00,original
pit,2023,9117.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9117.jsonl,11,success,,2026-05-19T17:46:03+00:00,original
pit,2023,9118.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9118.jsonl,63,success,,2026-05-19T17:46:04+00:00,original
pit,2023,9126.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9126.jsonl,24,success,,2026-05-19T17:46:04+00:00,original
pit,2023,9133.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9133.jsonl,36,success,,2026-05-19T17:46:04+00:00,original
pit,2023,9140.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9140.jsonl,10,success,,2026-05-19T17:46:05+00:00,original
pit,2023,9141.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9141.jsonl,37,success,,2026-05-19T17:46:05+00:00,original
pit,2023,9149.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9149.jsonl,101,success,,2026-05-19T17:46:06+00:00,original
pit,2023,9157.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9157.jsonl,25,success,,2026-05-19T17:46:06+00:00,original
pit,2023,9165.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9165.jsonl,25,success,,2026-05-19T17:46:06+00:00,original
