endpoint,year,session_key,output_path,record_count,status,error_message,ingestion_timestamp_utc
laps,2024,9549,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9549.jsonl,460,success,,2026-05-19T17:44:15+00:00
laps,2024,9550,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9550.jsonl,1407,success,,2026-05-19T17:44:15+00:00
laps,2024,9558,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9558.jsonl,962,success,,2026-05-19T17:44:16+00:00
laps,2024,9566,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9566.jsonl,1356,success,,2026-05-19T17:44:17+00:00
laps,2024,9574,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9574.jsonl,0,failed,HTTP 429 rate limit for laps params={'session_key': 9574},2026-05-19T17:44:22+00:00
laps,2024,9582,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9582.jsonl,0,failed,HTTP 429 rate limit for laps params={'session_key': 9582},2026-05-19T17:44:27+00:00
laps,2024,9590,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9590.jsonl,0,failed,HTTP 429 rate limit for laps params={'session_key': 9590},2026-05-19T17:44:33+00:00
laps,2024,9598,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9598.jsonl,0,failed,HTTP 429 rate limit for laps params={'session_key': 9598},2026-05-19T17:44:38+00:00
laps,2024,9606,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9606.jsonl,0,failed,HTTP 429 rate limit for laps params={'session_key': 9606},2026-05-19T17:44:43+00:00
laps,2024,9616,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9616.jsonl,0,failed,HTTP 429 rate limit for laps params={'session_key': 9616},2026-05-19T17:44:49+00:00
laps,2024,9617,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9617.jsonl,0,failed,HTTP 429 rate limit for laps params={'session_key': 9617},2026-05-19T17:44:54+00:00
laps,2024,9625,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9625.jsonl,0,failed,HTTP 429 rate limit for laps params={'session_key': 9625},2026-05-19T17:44:59+00:00
laps,2024,9635,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9635.jsonl,479,success,,2026-05-19T17:45:00+00:00
laps,2024,9636,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9636.jsonl,1137,success,,2026-05-19T17:45:00+00:00
laps,2024,9644,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9644.jsonl,940,success,,2026-05-19T17:45:01+00:00
laps,2024,9654,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9654.jsonl,380,success,,2026-05-19T17:45:01+00:00
laps,2024,9655,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9655.jsonl,944,success,,2026-05-19T17:45:02+00:00
laps,2024,9662,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9662.jsonl,1037,success,,2026-05-19T17:45:03+00:00
laps,2024,9672,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9672.jsonl,379,success,,2026-05-19T17:45:03+00:00
laps,2024,9673,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2024/session_key=9673.jsonl,1033,success,,2026-05-19T17:45:04+00:00
laps,2025,9693,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9693.jsonl,928,success,,2026-05-19T17:45:04+00:00
laps,2025,9839,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2025/session_key=9839.jsonl,1156,success,,2026-05-19T17:45:05+00:00
